"Board","Profession","Owner Name","Series","Modifier","Mail Address 1","Mail Address 2","Mail Address 3","Mail City","Mail State","Mail ZIP","Mail County","DBA","Location Address 1","Location Address 2","Location Address 3","Location City","Location State","Location ZIP","Location County","License Number","Primary Status","Secondary Status","Original Licensure Date","Effective Date","Expiration Date","Tax Stamp Designation","Smoking Designation","Retail Tobacco Indicator"
"400","4005","L & H HOLDING, INC.","BSA","","POST OFFICE BOX 1665","","","EATON PARK","FL","33840","63","L & H HOLDING, INC.","4105 MAINE AVENUE","","","EATON PARK","FL","33840","63","WSL6304839","20","20","06/22/2001","08/02/2002","09/30/2024","","",""
"400","4005","NATIONAL MARINE SUPPLIERS INC","MEXP","","2800 S W 2ND AVENUE","","","FT LAUDERDALE","FL","33315","16","NATIONAL MARINE SUPPLIERS INC","2800 SW 2ND AVE","","","FORT LAUDERDALE","FL","33315","16","WSL1615794","20","20","10/16/2000","10/21/2009","09/30/2025","","",""
"400","4005","DISMEX FOOD INC.","JDBW","","12255 SW 133RD COURT","","","MIAMI","FL","33186","23","DISMEX FOOD INC","12255 SW 133RD COURT","","","METRO DADE","FL","33186","23","WSL2325126","20","20","06/14/2002","05/30/2003","03/31/2025","","",""
"400","4005","ADVANTAGE INTERNATIONAL DISTRIBUTORS INC","KLD","","8880 NW 20 ST","SUITE A","","DORAL","FL","33172","23","ADVANTAGE INTERNATIONAL DISTRIBUTORS INC","8880 NW 20 ST","SUITE A","","DORAL","FL","33172","23","WSL2325013","20","20","04/12/2002","04/21/2021","03/31/2025","","",""
"400","4005","M & J PERSONAL SELECTIONS LLC","JDBW","","26355 FELL RD","","","ELBERTA","AL","36530","","M & J WINES AND MICRO BREWS","9718 W HWY 98","","","PENSACOLA","FL","32506","27","WSL2703677","20","20","07/25/2001","01/01/1901","09/30/2024","","",""
"400","4005","GOLDRING GULF DISTRIBUTING CO LLC","KLD","","3378 MOFFET ROAD","","","MOBILE","AL","36607","","GOLDRING GULF DISTRIBUTING CO LLC","927 MULBERRY AVENUE","","","PANAMA CITY","FL","32402","13","WSL1303137","20","20","09/01/1999","04/18/2006","09/30/2024","","",""
"400","4005","GOLDRING GULF DISTRIBUTING CO LLC","KLD","","3378 MOFFETT ROAD","","","MOBILE","AL","36607","701","GOLDRING GULF DISTRIBUTING CO LLC","8245 OPPORTUNITY DRIVE","","","MILTON","FL","32583","67","WSL6700001","20","20","","08/12/2002","09/30/2024","","",""
"400","4005","ALPHA MARKETING NETWORK INC","KLD","","16290 N.W. 13TH AVE","","","MIAMI","FL","33169","23","AMN DISTRIBUTORS","16290 NW 13TH AVENUE","","","MIAMI GARDENS","FL","33169","23","WSL2309950","20","20","","07/14/2022","03/31/2025","","",""
"400","4005","NEW IMAGE TRADING CORPORATION","JDBW","","14048 S W 140TH STREET","","","MIAMI","FL","33186","23","NEW IMAGE TRADING CORPORATION","14048 SW 140 ST","","","MIAMI","FL","33186","23","WSL2313078","21","37","","04/19/2019","03/31/2025","","",""
"400","4005","ALL BRAZILIAN IMP & EXP INC","KLD","","920 NW 1ST ST","","","FORT LAUDERDALE","FL","33311","16","ALL BRAZILIAN IMPORT & EXPORT INC","920 NW 1ST STREET","","","FORT LAUDERDALE","FL","33311","16","WSL1608001","20","20","","06/01/2018","03/31/2025","","",""
